1692521332.000000, 1692521332.000000, 1692521332.000000
32.000000, 32.000000, 32.000000
-7,-3,63
-7,-3,63
-7,-3,62
-7,-3,63
-7,-4,63
-7,-3,63
-6,-3,64
-6,-3,64
-6,-3,64
-6,-3,64
-6,-2,64
-6,-3,64
-6,-3,64
-6,-3,63
-6,-3,63
-6,-3,63
-7,-3,63
-7,-3,63
-6,-3,64
-6,-3,63
-6,-3,63
-6,-2,63
-6,-3,64
-6,-3,63
-6,-3,63
-6,-3,63
-7,-3,63
-6,-3,64
-6,-3,64
-6,-3,65
-6,-3,65
-5,-2,65
-4,-1,65
-4,-2,64
-6,-4,66
-6,-4,66
-6,-4,62
-6,-4,62
-6,-4,63
-6,-4,60
-6,-4,60
-4,-4,61
-4,-5,61
-4,-4,64
-5,-5,65
-4,-5,65
-4,-4,64
-4,-4,65
-4,-3,64
-5,-3,63
-5,-4,64
-6,-4,64
-6,-4,63
-5,-3,63
-5,-3,63
-4,-3,63
-5,-3,63
-5,-3,63
-5,-4,63
-5,-5,64
-5,-5,64
-4,-4,63
-4,-4,63
-5,-4,65
-4,-4,63
-5,-4,63
-6,-2,63
-5,-2,64
-4,-2,63
-4,-1,64
-4,-2,63
-3,-2,62
-3,-2,61
-3,-3,63
-1,-5,62
0,-6,61
8,-6,62
14,0,65
18,-26,67
1,9,65
13,14,75
2,26,74
-1,26,74
-31,18,64
-23,11,63
-32,1,65
-33,-6,54
-31,-8,48
-33,-12,52
-23,-15,54
-22,-15,53
-23,-15,57
-21,-15,59
-22,-14,60
-23,-13,58
-22,-14,55
-20,-10,56
-20,-8,57
-11,-5,62
-29,-55,72
-7,-25,99
-24,-4,66
-11,-4,60
-14,-10,63
-22,-9,47
-22,-13,50
-24,-9,55
-25,-6,54
-21,-6,54
-20,1,54
-19,2,56
-18,3,55
-17,6,56
-22,4,59
-27,-1,62
-29,-3,65
-34,-9,68
-33,-10,67
-26,-4,61
-28,6,60
-26,8,60
-25,10,55
-27,11,52
-30,8,51
-33,5,49
-35,2,51
-38,-4,57
-38,-7,58
-35,-9,59
-34,-9,60
-34,-11,62
-33,-15,61
-31,-15,59
-26,-10,54
-26,-7,55
-25,-6,55
-25,-5,57
-26,-6,58
-25,-6,59
-23,-2,58
-23,-2,58
-24,-4,61
-24,-6,64
-20,-11,67
-18,-13,65
-17,-15,64
-13,-14,61
-13,-14,62
-11,-14,64
-10,-12,63
-10,-10,63
-11,-6,61
-11,-4,59
-29,3,45
-17,3,60
-15,0,61
-14,-2,62
-13,-4,63
-16,-7,61
-11,-6,63
-10,-6,63
-7,-3,62
-3,-2,63
-16,-6,62
-9,-13,66
-11,-13,64
-12,-13,59
-14,-12,57
-19,-13,56
-20,-14,55
-20,-15,55
-20,-14,54
-20,-13,54
-20,-11,54
-25,-8,56
-27,-7,57
-27,-6,60
-28,-5,60
-33,-4,61
-32,-6,61
