sf,hr,tempo
2.3450000000000015,142.22222222222223,140
2.3500000000000014,69.81818181818181,140
2.1850000000000014,73.84615384615384,140
2.3300000000000014,67.36842105263158,140
2.3550000000000013,71.11111111111111,140
2.370000000000002,72.45283018867924,140
2.3450000000000015,68.57142857142857,140
2.3500000000000014,69.81818181818181,140
2.3550000000000013,71.11111111111111,140
2.340000000000001,68.57142857142857,150
2.4200000000000017,71.11111111111111,150
2.5050000000000017,75.29411764705883,150
2.5000000000000013,75.29411764705883,150
2.5050000000000012,75.29411764705883,150
2.5000000000000013,75.29411764705883,150
2.215000000000001,75.29411764705883,150
2.5050000000000017,75.29411764705883,150
2.515000000000002,76.8,150
2.495000000000002,75.29411764705883,150
2.3550000000000013,76.8,160
2.6450000000000022,80.0,160
2.3900000000000015,80.0,160
2.370000000000002,80.0,160
2.3550000000000018,80.0,160
2.680000000000002,80.0,160
2.680000000000002,80.0,160
2.6450000000000022,80.0,160
2.100000000000002,80.0,160
2.7250000000000023,80.0,170
2.840000000000002,85.33333333333333,170
2.8200000000000016,85.33333333333333,170
2.4750000000000014,83.47826086956522,170
2.860000000000002,85.33333333333333,170
2.8350000000000017,83.47826086956522,170
2.825000000000002,85.33333333333333,170
2.840000000000002,85.33333333333333,170
2.860000000000002,85.33333333333333,170
2.555000000000002,85.33333333333333,170
1.9200000000000013,83.47826086956522,180
2.880000000000002,87.27272727272727,180
2.935000000000002,89.30232558139535,180
2.9550000000000023,89.30232558139535,180
2.985000000000002,89.30232558139535,180
3.0000000000000027,89.30232558139535,180
2.990000000000002,89.30232558139535,180
2.985000000000002,91.42857142857143,180
2.7050000000000023,89.30232558139535,180
2.770000000000002,83.47826086956522,140
2.4900000000000015,76.8,140
2.3550000000000013,71.11111111111111,140
2.3450000000000015,69.81818181818181,140
2.340000000000001,69.81818181818181,140
2.1500000000000017,68.57142857142857,140
2.3450000000000015,68.57142857142857,140
2.3550000000000013,69.81818181818181,140
2.3450000000000015,68.57142857142857,140
2.395000000000001,68.57142857142857,150
2.5000000000000013,75.29411764705883,150
2.5050000000000017,75.29411764705883,150
2.3250000000000015,76.8,150
2.2850000000000015,76.8,150
2.3150000000000017,75.29411764705883,150
2.5000000000000018,76.8,150
2.5100000000000016,75.29411764705883,150
2.2250000000000014,76.8,150
2.5050000000000017,153.6,150
2.5100000000000016,75.29411764705883,170
2.495000000000002,75.29411764705883,170
2.6050000000000018,78.36734693877551,170
2.820000000000002,83.47826086956522,170
2.800000000000002,83.47826086956522,170
2.785000000000002,83.47826086956522,170
2.845000000000002,83.47826086956522,170
2.845000000000002,85.33333333333333,170
2.860000000000002,83.47826086956522,170
2.495000000000002,83.47826086956522,160
2.3400000000000016,78.36734693877551,160
2.6600000000000024,80.0,160
2.670000000000002,160.0,160
2.6600000000000024,80.0,160
2.655000000000002,160.0,160
2.665000000000002,160.0,160
2.3800000000000017,80.0,160
2.655000000000002,160.0,160
2.3600000000000017,80.0,180
2.670000000000002,80.0,180
2.6700000000000017,160.0,180
2.775000000000002,81.70212765957447,180
2.7150000000000025,91.42857142857143,180
3.025000000000003,91.42857142857143,180
2.7150000000000025,96.0,180
2.7000000000000024,93.65853658536585,180
3.015000000000003,91.42857142857143,180
2.700000000000002,93.65853658536585,180
