1692521701.000000, 1692521701.000000, 1692521701.000000
32.000000, 32.000000, 32.000000
-42,-1,41
-45,-8,55
-39,-9,66
-44,-6,66
-50,-5,53
-45,-5,52
-32,-14,52
-26,-18,53
-25,-20,51
-31,-16,49
-33,-15,50
-36,-16,51
-37,-16,51
-35,-20,53
-31,-22,52
-30,-24,52
-25,-29,52
-25,-32,50
-33,-35,48
-33,-27,56
-32,-20,53
-31,-16,56
-30,-13,57
-24,-9,57
-28,-7,59
-29,-7,58
-26,-11,56
-24,-11,58
-18,-12,64
-11,-11,62
-3,-11,54
-16,-11,52
-16,-7,54
-25,1,52
-21,-15,58
-16,-7,63
-20,-6,63
-22,-12,63
-14,-9,67
-10,-7,65
-12,-6,62
-12,-6,60
-10,-7,59
-15,-5,59
-13,-7,64
-13,-6,63
-11,-8,62
-14,-6,60
-16,-6,61
-16,-7,61
-17,-7,62
-20,-6,58
-16,-8,58
-14,-6,58
-17,-2,59
-17,-3,61
-19,-6,61
-18,-8,60
-16,-9,60
-16,-9,61
-16,-8,61
-16,-6,65
-13,-7,67
-15,-8,66
-16,-7,66
-14,-6,66
-13,-6,65
-12,-6,64
-12,-7,63
-11,-6,61
-11,-6,61
-11,-6,61
-10,-7,62
-15,-5,62
-13,-11,63
-6,-3,63
-14,-7,59
-13,-8,61
-10,-6,61
-12,-7,61
-12,-6,62
-11,-6,62
-12,-6,62
-11,-5,62
-13,-5,62
-14,-8,61
-13,-7,63
-13,-7,63
-12,-7,63
-12,-6,63
-11,-6,64
-12,-6,62
-12,-7,62
-12,-5,62
-12,-5,63
-11,-6,63
-12,-5,63
-12,-5,63
-11,-5,63
-12,-5,63
-12,-6,63
-11,-6,62
-11,-6,62
-10,-6,62
-10,-6,62
-10,-6,62
-10,-7,63
-10,-7,63
-10,-6,63
-10,-6,63
-10,-6,63
-10,-6,63
-10,-6,63
-10,-5,62
-9,-5,63
-10,-5,63
-10,-5,62
-11,-5,63
-11,-5,63
-10,-5,63
-10,-6,63
-11,-5,62
-10,-5,63
-11,-5,63
-10,-4,63
-10,-4,63
-11,-4,63
-10,-4,64
-10,-5,63
-11,-5,63
-11,-5,63
-11,-5,63
-11,-5,63
-11,-5,63
-10,-5,62
-10,-5,62
-11,-5,63
-11,-5,64
-12,-6,63
-11,-6,63
-11,-5,61
-12,-5,62
-12,-5,62
-12,-5,63
-12,-5,63
-12,-5,63
-12,-5,63
-11,-5,63
-12,-5,63
-12,-5,63
-12,-5,63
-12,-5,64
-12,-5,64
-12,-5,63
-11,-5,63
-11,-5,62
-12,-5,62
-12,-4,63
-12,-5,63
-12,-5,62
-13,-5,61
-14,-5,61
-14,-5,61
-15,-5,61
-14,-4,61
-14,-4,62
-13,-3,62
-13,-4,63
-13,-4,65
-12,-5,64
-12,-5,64
-12,-5,63
-12,-5,63
-12,-6,62
-12,-6,62
-12,-5,62
-12,-5,61
-12,-5,61
-12,-6,62
-12,-6,63
-12,-5,63
-11,-5,63
-11,-5,63
-12,-5,63
-11,-5,62
-11,-5,61
-11,-6,61
-11,-6,61
-12,-7,60
-13,-8,59
-12,-8,60
-12,-7,60
-12,-7,61
-13,-7,62
-11,-6,63
-11,-6,64
-11,-6,63
-12,-7,64
-13,-9,65
-12,-9,63
-13,-9,63
-15,-9,62
-14,-9,63
-14,-9,62
-15,-10,61
-15,-9,61
-14,-9,60
-15,-9,60
-13,-10,60
-12,-11,59
-11,-12,60
-9,-13,59
-8,-15,59
-9,-17,61
-11,-17,62
-12,-17,62
-16,-13,63
-16,-11,65
-21,-7,67
-26,-4,68
-25,0,64
-20,8,59
-19,10,60
-20,10,66
-20,8,64
-19,8,61
-15,11,60
-15,10,61
-18,5,62
-14,-2,65
-15,-7,65
-16,-13,63
-13,-13,60
-4,-9,54
-1,-5,53
-4,-6,55
-9,-19,82
-12,-27,81
-22,-38,74
-21,-43,71
-14,-35,58
-9,-13,48
-11,-8,46
-4,-7,52
-3,-3,46
-2,0,49
-6,-2,57
-7,-2,60
-13,11,63
-15,-6,86
-15,-8,90
-31,-11,77
-34,-13,78
-16,-11,81
-7,-6,58
-6,-8,50
4,-9,42
-2,-11,38
6,-10,38
2,-4,43
1,-5,49
7,-6,59
10,-10,62
1,-2,67
-3,-13,92
-10,-18,101
0,-25,80
2,-18,65
7,-11,64
3,-16,64
2,-15,62
6,-7,66
8,-1,63
9,0,56
-4,-15,52
-1,-11,52
-20,-5,44
-9,-17,52
-13,-7,57
-8,-4,59
-12,-4,59
-14,-3,62
-19,-6,68
-21,-13,80
-21,-7,77
-27,-9,77
-30,-15,73
-25,-13,66
-25,0,51
-29,2,57
-27,1,60
-23,-6,57
-20,-6,52
-21,-4,49
-17,-4,51
-15,-5,52
-14,-9,53
-13,-9,52
-15,-8,52
-21,-14,59
-21,-16,62
-22,-21,66
-30,-31,75
-23,-37,70
-16,-34,46
-12,-33,40
-6,-35,34
-3,-34,32
-2,-28,27
1,-26,21
2,-30,20
-16,-44,15
-28,-50,17
-41,-69,30
-37,-75,32
-36,-75,30
-56,-78,29
-65,-82,30
-57,-92,37
-50,-99,45
-46,-99,47
-42,-72,37
-45,-60,26
-50,-57,21
-58,-74,24
-53,-86,26
-41,-89,29
-54,-87,24
-66,-79,13
-61,-74,20
-51,-64,22
-40,-51,17
-28,-45,16
-8,-25,6
-10,-17,-2
-7,-12,-4
-9,-1,-4
-14,4,-4
-23,-6,9
-20,-28,23
-32,-42,27
-53,-54,37
-47,-57,40
-36,-60,46
-44,-63,40
-45,-65,36
-47,-62,30
-52,-61,29
-45,-55,28
-37,-51,33
-24,-50,34
-23,-62,42
-36,-75,42
-37,-79,39
-40,-85,34
-44,-89,34
-43,-100,42
-39,-94,38
-33,-77,26
-38,-77,28
-40,-81,29
-43,-92,27
-46,-95,26
-44,-87,25
-39,-68,19
-31,-56,16
-19,-33,14
-17,-29,13
-15,-20,12
-17,-6,10
-19,1,8
-17,14,5
-16,16,7
-9,21,7
-21,1,15
-33,-18,13
-29,-47,27
-40,-69,37
-51,-87,22
-36,-83,21
-34,-80,27
-36,-73,29
-36,-72,26
-41,-70,20
-39,-64,24
-35,-64,27
-28,-62,30
-25,-62,31
-27,-64,34
-35,-73,35
-38,-81,36
-41,-100,40
-37,-107,44
-21,-87,35
-23,-70,24
-32,-73,22
-42,-91,21
-38,-95,25
-25,-83,25
-28,-78,17
-40,-81,12
-49,-78,8
-51,-71,6
-35,-50,7
-22,-29,4
-20,-18,0
-3,2,-4
5,14,-4
1,22,3
-9,22,11
-15,17,16
-45,-12,36
-47,-20,49
-39,-21,52
-32,-35,21
-21,-47,13
-7,-61,27
-17,-66,36
-39,-73,41
-39,-69,30
-38,-69,27
-42,-71,27
-46,-69,21
-42,-64,19
-34,-64,31
-32,-66,36
-33,-81,36
-37,-92,37
-41,-103,40
-33,-81,26
-35,-73,20
-48,-74,17
-52,-80,15
-44,-90,20
-38,-88,19
-41,-84,21
-43,-71,17
-43,-61,13
-50,-45,-5
-46,-37,-2
-31,-29,-1
-9,-11,-3
-4,-1,-3
-6,13,-3
-4,20,0
-6,22,-1
-22,10,5
-31,-3,11
-43,-33,26
-58,-56,30
-59,-63,28
-41,-65,33
-39,-58,31
-45,-45,23
-32,-45,22
-24,-49,26
-36,-62,22
-44,-66,18
-48,-69,14
-41,-69,21
-41,-72,24
-41,-79,32
-43,-86,31
-49,-102,30
-50,-93,29
-45,-82,22
-45,-71,12
-50,-73,10
-54,-81,12
-53,-85,11
-52,-86,13
-55,-88,17
-55,-83,12
-52,-60,-1
-37,-47,-2
-24,-38,-1
-5,-17,-1
-4,-10,-1
-8,6,-3
-19,17,-1
-20,20,0
-19,28,-3
-26,31,-3
-46,5,17
-29,-13,31
-26,-22,35
-38,-32,32
-43,-40,32
-31,-45,33
-45,-60,33
-54,-61,31
-47,-60,27
-42,-61,25
-42,-63,22
